object_id,scene_id,object_type,current_asset_reference,asset_source,ownership_status,release_status,replacement_required,dimensions,layer,z_index,notes
scene.autoplay.panel.root,autoplay.panel,autoplay_panel,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.5x0.58,modal,200,Autoplay panel placeholder; execution not observed. Supplemental scaffold preview/reference mapped; blocked from release.
scene.autoplay.panel.start_button,scene.autoplay,autoplay_start,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.16x0.08,modal_controls,220,Autoplay start placeholder; runtime safety rules pending. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.background,scene.base,background,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_background.jpg,scaffold_reference,scaffold_internal_only,blocked_from_release,true,1x1,background,0,Original gangster/street background pending. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.cluster_highlight_layer,scene.base,cluster_highlight_layer,placeholder://scene.base.cluster_highlight_layer,placeholder,placeholder,pending_replacement,true,0.64x0.58,win_highlights,80,Overlay layer for connected-cluster win highlights.
scene.base.grid.cell.c1.r1,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 1, row 1. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c1.r2,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 1, row 2. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c1.r3,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 1, row 3. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c1.r4,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 1, row 4. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c1.r5,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 1, row 5. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c2.r1,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 2, row 1. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c2.r2,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 2, row 2. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c2.r3,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 2, row 3. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c2.r4,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 2, row 4. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c2.r5,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 2, row 5. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c3.r1,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 3, row 1. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c3.r2,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 3, row 2. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c3.r3,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 3, row 3. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c3.r4,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 3, row 4. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c3.r5,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 3, row 5. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c4.r1,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 4, row 1. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c4.r2,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 4, row 2. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c4.r3,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 4, row 3. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c4.r4,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 4, row 4. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c4.r5,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 4, row 5. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c5.r1,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 5, row 1. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c5.r2,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 5, row 2. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
