object_id,scene_id,current_asset_reference,asset_source,ownership_status,release_status,replacement_required,art_direction_status,replacement_priority,replacement_asset_target,artist_notes
scene.autoplay.panel.root,autoplay.panel,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,high,lg_autoplay_panel_root_original_or_approved_replacement,Replace with original/internal-approved/licensed asset before release.
scene.autoplay.panel.start_button,scene.autoplay,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,high,lg_autoplay_panel_start_button_original_ui_control_asset,Replace with original/internal-approved/licensed asset before release.
scene.base.background,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_background.jpg,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_background_original_background_illustration,Replace with original neon city alley / casino backroom background for Little Gangster.
scene.base.cluster_highlight_layer,scene.base,placeholder://scene.base.cluster_highlight_layer,placeholder,needs_replacement,blocked_from_release,true,needs_replacement,critical,lg_base_cluster_highlight_layer_original_or_approved_replacement,Replace with original/internal-approved/licensed asset before release.
scene.base.grid.cell.c1.r1,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c1_r1_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c1.r2,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c1_r2_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c1.r3,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c1_r3_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c1.r4,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c1_r4_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c1.r5,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c1_r5_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c2.r1,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c2_r1_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
