object_id,scene_id,current_asset_reference,asset_source,ownership_status,release_status,replacement_required,replacement_plan,priority,notes
scene.autoplay.panel.root,autoplay.panel,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,high,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.autoplay.panel.start_button,scene.autoplay,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,high,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.background,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_background.jpg,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original neon city alley / casino backroom background for Little Gangster.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.cluster_highlight_layer,scene.base,placeholder://scene.base.cluster_highlight_layer,placeholder,needs_replacement,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,critical,Placeholder or technical planning object; final asset/position needs product or implementation review.
scene.base.grid.cell.c1.r1,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c1.r2,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c1.r3,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c1.r4,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c1.r5,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c2.r1,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c2.r2,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c2.r3,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c2.r4,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c2.r5,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c3.r1,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c3.r2,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c3.r3,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c3.r4,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c3.r5,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c4.r1,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c4.r2,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c4.r3,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c4.r4,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c4.r5,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c5.r1,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c5.r2,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c5.r3,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c5.r4,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c5.r5,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c6.r1,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c6.r2,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c6.r3,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c6.r4,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.grid.cell.c6.r5,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
